,Rank,Artist,Song,Year
160,1,Perry Como,Prisoner Of Love,1946
161,2,Eddy Howard,To Each His Own,1946
162,3,The Ink Spots,The Gypsy,1946
163,4,Frank Sinatra,Five Minutes More,1946
164,5,Frankie Carle,Rumors Are Flying,1946
165,6,Frankie Carle,Oh! What It Seemed To Be,1946
166,7,Johnny Mercer,Personality,1946
167,8,Bing Crosby and The Andrews Sisters,"South America, Take It Away",1946
168,9,Dinah Shore,The Gypsy,1946
169,10,Frank Sinatra,Oh! What It Seemed To Be,1946
170,11,Perry Como,Surrender,1946
171,12,Betty Hutton,"Doctor, Lawyer, Indian Chief",1946
172,13,Vaughn Monroe,"Let It Snow, Let It Snow, Let It Snow",1946
173,14,Freddy Martin,To Each His Own,1946
174,15,Kay Kyser,Ol’ Buttermilk Sky,1946
175,16,The Ink Spots,To Each His Own,1946
176,17,Freddy Martin,Symphony,1946
177,18,Sammy Kaye,The Old Lamplighter,1946
178,19,Bing Crosby and Carmen Cavallaro,I Can’t Begin To Tell You,1946
179,20,Sammy Kaye,I’m A Big Girl Now,1946
180,21,Bing Crosby,Symphony,1946
181,22,Dinah Shore,Doin’ What Comes Natur’lly,1946
182,23,Sammy Kaye,The Gypsy,1946
183,24,Dinah Shore,Laughing On The Outside Crying On The Inside,1946
184,25,Tex Beneke and The Glenn Miller Orchestra,Five Minutes More,1946
185,26,Andy Russell,Laughing On The Outside Crying On The Inside,1946
186,27,Perry Como,They Say It’s Wonderful,1946
187,28,Tex Beneke and The Glenn Miller Orchestra,Hey! Ba-Ba-Re-Bop,1946
188,29,Tony Martin,To Each His Own,1946
189,30,Les Brown,You Won’t Be Satisfied Until You Break My Heart,1946
190,31,Benny Goodman,Symphony,1946
191,32,Charlie Spivak,Oh! What It Seemed To Be,1946
192,33,Freddy Martin,Doin’ What Comes Natur’lly,1946
193,34,Kay Kyser,The Old Lamplighter,1946
194,35,Dick Haymes and Helen Forrest,Oh! What It Seemed To Be,1946
195,36,Andrews Sisters and Les Paul Trio,Rumors Are Flying,1946
196,37,Perry Como,Dig You Later A Hubba-Hubba-Hubba,1946
197,38,Jo Stafford,Symphony,1946
198,39,Modernaires and Paula Kelly,To Each His Own,1946
199,40,Bing Crosby,Sioux City Sue,1946
200,41,The King Cole Trio,I Love You For Sentimental Reasons,1946
201,42,Guy Lombardo,"Managua, Nicaragua",1946
202,43,Vaughn Monroe,How Soon,1946
203,44,Bing Crosby,The Whiffenpoof Song,1946
204,45,Dusty Fletcher,"Open The Door, Richard",1946
205,46,Eddy Howard,I Love You For Sentimental Reasons,1946
206,47,Peggy Lee,Golden Earrings,1946
207,48,Kay Kyser,Ol’ Buttermilk Sky,1946
208,1,Francis Craig,Near You,1947
209,2,The Harmonicats,Peg O’ My Heart,1947
210,3,Ted Weems,Heartaches,1947
211,4,Ray Noble and Buddy Clark,Linda,1947
212,5,Tex Williams,"Smoke, Smoke, Smoke That Cigarette",1947
213,6,Vaughn Monroe,I Wish I Didn’t Love You So,1947
214,7,The Three Suns,Peg O’ My Heart,1947
215,8,Al Jolson,Anniversary Song,1947
216,9,Larry Green,Near You,1947
217,10,Sammy Kaye,That’s My Desire,1947
218,11,Vaughn Monroe,Ballerina,1947
219,12,Art Lund,Mam’selle,1947
220,13,Freddy Martin,"Managua, Nicaragua",1947
221,14,Perry Como,Chi-Baba Chi-Baba,1947
222,15,Red Ingle and Jo Stafford,Temptation (Tim-tayshun),1947
223,16,Ted Weems and Perry Como,I Wonder Who’s Kissing Her Now,1947
224,17,The Andrews Sisters,Near You,1947
225,18,Sammy Kaye,The Old Lamplighter,1947
226,19,Perry Como,When You Were Sweet Sixteen,1947
227,20,Jack Owens,How Soon,1947
228,21,Arthur Godfrey,Too Fat Polka,1947
229,22,Eddy Howard,"I Wonder, I Wonder, I Wonder",1947
230,23,Eddy Howard,My Adobe Hacienda,1947
231,24,Hoagy Carmichael,Huggin’ And Chalkin’,1947
232,25,Hoagy Carmichael,Ole Buttermilk Sky,1947
233,26,The King Cole Trio,I Love You For Sentimental Reasons,1947
234,27,Dick Haymes,Mam’selle,1947
235,28,Vaughn Monroe,You Do,1947
236,29,Guy Lombardo,Anniversary Song,1947
237,30,Bing Crosby,White Christmas,1947
238,31,Dinah Shore,Anniversary Song,1947
239,32,Mills Brothers,Across The Alley From The Alamo,1947
240,33,Andrews Sisters and Danny Kaye,Civilization Bongo Bongo Bongo,1947
241,34,Kay Kyser,The Old Lamplighter,1947
242,35,Art Lund,Peg O’ My Heart,1947
243,36,Count Basie,"Open The Door, Richard",1947
244,37,Margaret Whiting,You Do,1947
245,38,Dorothy Shay,Feudin’ And Fightin’,1947
246,39,Charlie Spivak,Linda,1947
247,40,Guy Lombardo,"Managua, Nicaragua",1947
248,41,Tex Beneke and The Glenn Miller Orchestra,Anniversary Song,1947
249,42,Bing Crosby,The Whiffenpoof Song,1947
250,43,Vaughn Monroe,How Soon,1947
251,44,Dusty Fletcher,"Open The Door, Richard",1947
252,45,Eddy Howard,I Love You For Sentimental Reasons,1947
253,46,Peggy Lee,Golden Earrings,1947
254,47,Kay Kyser,Ole Buttermilk Sky,1947
255,1,Pee Wee Hunt,Twelfth Street Rag,1948
256,2,Peggy Lee,Manana,1948
257,3,Bing Crosby,Now Is The Hour,1948
258,4,Margaret Whiting,A Tree In The Meadow,1948
259,5,Jon and Sondra Steele,My Happiness,1948
260,6,Ken Griffin and Jerry Wayne,"You Can’t Be True, Dear",1948
261,7,Dick Haymes,Little White Lies,1948
262,8,Al Trace,You Call Everybody Darlin’,1948
263,9,The Pied Pipers,My Happiness,1948
264,10,Art Mooney,I’m Looking Over A Four Leaf Clover,1948
265,11,Doris Day,It’s Magic,1948
266,12,Gordon Jenkins,Maybe You’ll Be There,1948
267,13,Vaughn Monroe,Ballerina,1948
268,14,The King Cole Trio,Nature Boy,1948
269,15,Kay Kyser,Woody Woodpecker,1948
270,16,Doris Day and Buddy Clark,Love Somebody,1948
271,17,Gracie Fields,Now Is The Hour,1948
272,18,Francis Craig,Beg Your Pardon,1948
273,19,Ken Griffin,"You Can’t Be True, Dear",1948
274,20,The Andrews Sisters,Toolie Oolie Doolie,1948
275,21,Dinah Shore,Buttons & Bows,1948
276,22,Peggy Lee,Golden Earrings,1948
277,23,Art Mooney,Baby Face,1948
