,Rank,Artist,Song,Year
3307,4,Kenny Loggins,Footloose,1984
3308,5,Phil Collins,Against All Odds (Take A Look At Me Now),1984
3309,6,Van Halen,Jump,1984
3310,7,Lionel Richie,Hello,1984
3311,8,Yes,Owner Of A Lonely Heart,1984
3312,9,Ray Parker Jr.,Ghostbusters,1984
3313,10,Culture Club,Karma Chameleon,1984
3314,11,John Waite,Missing You,1984
3315,12,Lionel Richie,All Night Long (All Night),1984
3316,13,Deniece Williams,Let’s Hear It For The Boy,1984
3317,14,Bruce Springsteen,Dancing In The Dark,1984
3318,15,Cyndi Lauper,Girls Just Want To Have Fun,1984
3319,16,Duran Duran,The Reflex,1984
3320,17,Cyndi Lauper,Time After Time,1984
3321,18,Pointer Sisters,Jump (For My Love),1984
3322,19,Romantics,Talking In Your Sleep,1984
3323,20,Laura Branigan,Self Control,1984
3324,21,Prince and The Revolution,Let’s Go Crazy,1984
3325,22,Daryl Hall and John Oates,Say It Isn’t So,1984
3326,23,Thompson Twins,Hold Me Now,1984
3327,24,Kool and The Gang,Joanna,1984
3328,25,Stevie Wonder,I Just Called To Say I Love You,1984
3329,26,Rockwell,Somebody’s Watching Me,1984
3330,27,Matthew Wilder,Break My Stride,1984
3331,28,Nena,99 Luftballons,1984
3332,29,Dan Hartman,I Can Dream About You,1984
3333,30,Sheila E.,The Glamorous Life,1984
3334,31,Steve Perry,Oh Sherrie,1984
3335,32,Lionel Richie,Stuck On You,1984
3336,33,Elton John,I Guess That’s Why They Call It The Blues,1984
3337,34,Cyndi Lauper,She Bop,1984
3338,35,Madonna,Borderline,1984
3339,36,Corey Hart,Sunglasses At Night,1984
3340,37,Billy Idol,Eyes Without A Face,1984
3341,38,Eurythmics,Here Comes The Rain Again,1984
3342,39,Billy Joel,Uptown Girl,1984
3343,40,Night Ranger,Sister Christian,1984
3344,41,Cars,Drive,1984
3345,42,Olivia Newton-John,Twist Of Fate,1984
3346,43,Duran Duran,Union Of The Snake,1984
3347,44,Huey Lewis and The News,The Heart Of Rock ‘N’ Roll,1984
3348,45,Chicago,Hard Habit To Break,1984
3349,46,Scandal,The Warrior,1984
3350,47,Peabo Bryson,If Ever You’re In My Arms Again,1984
3351,48,Pointer Sisters,Automatic,1984
3352,49,Shannon,Let The Music Play,1984
3353,50,Julio Iglesias and Willie Nelson,To All The Girls I’ve Loved Before,1984
3354,51,Billy Ocean,Caribbean Queen,1984
3355,52,Genesis,That’s All,1984
3356,53,Lionel Richie,Running With The Night,1984
3357,54,Elton John,Sad Songs (Say So Much),1984
3358,55,Huey Lewis and The News,I Want A New Drug,1984
3359,56,Kenny Rogers and Dolly Parton,Islands In The Stream,1984
3360,57,Pat Benatar,Love Is A Battlefield,1984
3361,58,Rod Stewart,Infatuation,1984
3362,59,Mike Reno and Ann Wilson,Almost Paradise,1984
3363,60,ZZ Top,Legs,1984
3364,61,Jacksons,State Of Shock,1984
3365,62,Rick Springfield,Love Somebody,1984
3366,63,Culture Club,Miss Me Blind,1984
3367,64,Huey Lewis and The News,If This Is It,1984
3368,65,Cars,You Might Think,1984
3369,66,Madonna,Lucky Star,1984
3370,67,Bruce Springsteen,Cover Me,1984
3371,68,Quiet Riot,Cum On Feel The Noize,1984
3372,69,Irene Cara,Breakdance,1984
3373,70,Daryl Hall and John Oates,Adult Education,1984
3374,71,Tracy Ullman,They Don’t Know,1984
3375,72,Billy Joel,An Innocent Man,1984
3376,73,Bananarama,Cruel Summer,1984
3377,74,Wang Chung,Dance Hall Days,1984
3378,75,K.C.,Give It Up,1984
3379,76,Pointer Sisters,I’m So Excited,1984
3380,77,Ray Parker Jr.,I Still Can’t Get Over Loving You,1984
3381,78,Michael Jackson,Thriller,1984
3382,79,Madonna,Holiday,1984
3383,80,Ollie And Jerry,Breakin’… There’s No Stopping Us,1984
3384,81,John Lennon,Nobody Told Me,1984
3385,82,Culture Club,Church Of The Poison Mind,1984
3386,83,Christopher Cross,Think Of Laura,1984
3387,84,Debarge,Time Will Reveal,1984
3388,85,Police,Wrapped Around Your Finger,1984
3389,86,John Cougar Mellencamp,Pink Houses,1984
3390,87,Ratt,Round And Round,1984
3391,88,Go-Go’s,Head Over Heels,1984
3392,89,Billy Joel,The Longest Time,1984
3393,90,Kool and The Gang,Tonight,1984
3394,91,Christine McVie,Got A Hold On Me,1984
3395,92,Shalamar,Dancing In The Sheets,1984
3396,93,Rolling Stones,Undercover Of The Night,1984
3397,94,John Cafferty and The Beaver Brown Band,On The Dark Side,1984
3398,95,Duran Duran,New Moon On Monday,1984
3399,96,Peter Schilling,Major Tom (Coming Home),1984
3400,97,Cars,Magic,1984
3401,98,Night Ranger,When You Close Your Eyes,1984
3402,99,Billy Squier,Rock Me Tonite,1984
3403,100,James Ingram and Michael McDonald,Yah Mo B There,1984
3404,1,Wham!,Careless Whisper,1985
3405,2,Madonna,Like A Virgin,1985
3406,3,Wham!,Wake Me Up Before You Go-Go,1985
3407,4,Foreigner,I Want To Know What Love Is,1985
3408,5,Chaka Khan,I Feel For You,1985
3409,6,Daryl Hall and John Oates,Out Of Touch,1985
3410,7,Tears For Fears,Everybody Wants To Rule The World,1985
3411,8,Dire Straits,Money For Nothing,1985
3412,9,Madonna,Crazy For You,1985
3413,10,A-Ha,Take On Me,1985
3414,11,Paul Young,Everytime You Go Away,1985
3415,12,Phil Collins and Philip Bailey,Easy Lover,1985
3416,13,REO Speedwagon,Can’t Fight This Feeling,1985
3417,14,Starship,We Built This City,1985
3418,15,Huey Lewis and The News,The Power Of Love,1985
3419,16,Simple Minds,Don’t You (Forget About Me),1985
3420,17,Kool and The Gang,Cherish,1985
3421,18,John Parr,St. Elmo’s Fire (Man In Motion),1985
3422,19,Glenn Frey,The Heat Is On,1985
3423,20,U.S.A. For Africa,We Are The World,1985
3424,21,Tears For Fears,Shout,1985
3425,22,Stevie Wonder,Part-Time Lover,1985
3426,23,Whitney Houston,Saving All My Love For You,1985
3427,24,Bryan Adams,Heaven,1985
3428,25,Wham!,Everything She Wants,1985
3429,26,New Edition,Cool It Now,1985
3430,27,Jan Hammer,Miami Vice Theme,1985
3431,28,Billy Ocean,Lover Boy,1985
3432,29,Teena Marie,Lover Girl,1985
3433,30,Glenn Frey,You Belong To The City,1985
3434,31,Ready For The World,Oh Sheila,1985
3435,32,Debarge,Rhythm Of The Night,1985
3436,33,Phil Collins,One More Night,1985
3437,34,Honeydrippers,Sea Of Love,1985
3438,35,Duran Duran,A View To A Kill,1985
3439,36,Duran Duran,The Wild Boys,1985
3440,37,Chicago,You’re The Inspiration,1985
3441,38,Pointer Sisters,Neutron Dance,1985
3442,39,Pat Benatar,We Belong,1985
3443,40,Commodores,Nightshift,1985
3444,41,Howard Jones,Things Can Only Get Better,1985
3445,42,Jack Wagner,All I Need,1985
3446,43,Aretha Franklin,Freeway Of Love,1985
3447,44,Corey Hart,Never Surrender,1985
3448,45,Phil Collins,Sussudio,1985
3449,46,Sheena Easton,Strut,1985
3450,47,Whitney Houston,You Give Good Love,1985
3451,48,Survivor,The Search Is Over,1985
3452,49,Diana Ross,Missing You,1985
3453,50,Phil Collins and Marilyn Martin,Separate Lives,1985
3454,51,Prince and The Revolution,Raspberry Beret,1985
3455,52,Billy Ocean,Suddenly,1985
3456,53,Don Henley,The Boys Of Summer,1985
3457,54,Murray Head,One Night In Bangkok,1985
3458,55,Sting,If You Love Somebody Set Them Free,1985
3459,56,Animotion,Obsession,1985
3460,57,Tina Turner,We Don’t Need Another Hero,1985
3461,58,Madonna,Material Girl,1985
3462,59,Tina Turner,Better Be Good To Me,1985
3463,60,Tears For Fears,Head Over Heels,1985
3464,61,Harold Faltermeyer,Axel F,1985
3465,62,Sade,Smooth Operator,1985
3466,63,Mary Jane Girls,In My House,1985
3467,64,Phil Collins,Don’t Lose My Number,1985
3468,65,Cyndi Lauper,All Through The Night,1985
3469,66,Bryan Adams,Run To You,1985
3470,67,Bruce Springsteen,Glory Days,1985
3471,68,‘Til Tuesday,Voices Carry,1985
3472,69,Kool and The Gang,Misled,1985
3473,70,Eurythmics,Would I Lie To You?,1985
3474,71,ABC,Be Near Me,1985
3475,72,Paul McCartney,No More Lonely Nights,1985
3476,73,Survivor,I Can’t Hold Back,1985
3477,74,Bryan Adams,Summer Of ’69,1985
3478,75,Katrina and The Waves,Walking On Sunshine,1985
3479,76,Wham!,Freedom,1985
3480,77,Julian Lennon,Too Late For Goodbyes,1985
3481,78,Julian Lennon,Valotte,1985
3482,79,Power Station,Some Like It Hot,1985
3483,80,Ashford and Simpson,Solid,1985
3484,81,Madonna,Angel,1985
3485,82,Bruce Springsteen,I’m On Fire,1985
3486,83,Daryl Hall and John Oates,Method Op Modern Love,1985
3487,84,Thompson Twins,Lay Your Hands On Me,1985
3488,85,Debarge,Who’s Holding Donna Now,1985
3489,86,John Cougar Mellencamp,Lonely Ol’ Night,1985
3490,87,Heart,What About Love,1985
3491,88,David Lee Roth,California Girls,1985
3492,89,Kool and The Gang,Fresh,1985
3493,90,Jermaine Jackson,Do What You Do,1985
3494,91,The Time,Jungle Of Love,1985
3495,92,Bruce Springsteen,Born In The USA,1985
3496,93,Tina Turner,Private Dancer,1985
3497,94,Aretha Franklin,Who’s Zoomin’ Who,1985
3498,95,Sting,Fortress Around Your Heart,1985
3499,96,Lionel Richie,Penny Lover,1985
3500,97,Don Henley,All She Wants To Do Is Dance,1985
3501,98,Madonna,Dress You Up,1985
3502,99,Night Ranger,Sentimental Street,1985
3503,100,Sheena Easton,Sugar Walls,1985
3504,1,Dionne and Friends,That’s What Friends Are For,1986
3505,2,Lionel Richie,"Say You, Say Me",1986
3506,3,Klymaxx,I Miss You,1986
3507,4,Patti Labelle and Michael McDonald,On My Own,1986
3508,5,Mr. Mister,Broken Wings,1986
3509,6,Whitney Houston,How Will I Know,1986
3510,7,Eddie Murphy,Party All The Time,1986
3511,8,Survivor,Burning Heart,1986
3512,9,Mr. Mister,Kyrie,1986
3513,10,Robert Palmer,Addicted To Love,1986
3514,11,Whitney Houston,Greatest Love Of All,1986
3515,12,Atlantic Starr,Secret Lovers,1986
3516,13,Carl Anderson and Gloria Loring,Friends And Lovers,1986
3517,14,Peter Cetera,Glory Of Love,1986
3518,15,Pet Shop Boys,West End Girls,1986
3519,16,Billy Ocean,There’ll Be Sad Songs,1986
3520,17,Simple Minds,Alive And Kicking,1986
3521,18,Heart,Never,1986
3522,19,Prince and The Revolution,Kiss,1986
3523,20,Steve Winwood,Higher Love,1986
3524,21,Huey Lewis and The News,Stuck With You,1986
3525,22,Simply Red,Holding Back The Years,1986
3526,23,Peter Gabriel,Sledgehammer,1986
3527,24,Starship,Sara,1986
3528,25,Human League,Human,1986
3529,26,Nu Shooz,I Can’t Wait,1986
3530,27,Berlin,Take My Breath Away,1986
3531,28,Falco,Rock Me Amadeus,1986
3532,29,Madonna,Papa Don’t Preach,1986
3533,30,Bon Jovi,You Give Love A Bad Name,1986
3534,31,Billy Ocean,When The Going Gets Tough,1986
3535,32,Janet Jackson,When I Think Of You,1986
3536,33,Heart,These Dreams,1986
3537,34,Glass Tiger,Don’t Forget Me (When I’m Gone),1986
3538,35,Madonna,Live To Tell,1986
3539,36,Belinda Carlisle,Mad About You,1986
3540,37,Level 42,Something About You,1986
3541,38,Bananarama,Venus,1986
3542,39,Lionel Richie,Dancing On The Ceiling,1986
3543,40,Miami Sound Machine,Conga,1986
3544,41,Cyndi Lauper,True Colors,1986
3545,42,Kenny Loggins,Danger Zone,1986
3546,43,Janet Jackson,What Have You Done For Me Lately,1986
3547,44,Howard Jones,No One Is To Blame,1986
3548,45,Sly Fox,Let’s Go All The Way,1986
3549,46,Robert Palmer,I Didn’t Mean To Turn You On,1986
3550,47,Miami Sound Machine,Words Get In The Way,1986
3551,48,Bangles,Manic Monday,1986
3552,49,Dire Straits,Walk Of Life,1986
3553,50,Boston,Amanda,1986
3554,51,Stacey Q,Two Of Hearts,1986
3555,52,Jets,Crush On You,1986
3556,53,Orchestral Manoeuvres In The Dark,If You Leave,1986
3557,54,Genesis,Invisible Touch,1986
3558,55,Sade,The Sweetest Taboo,1986
3559,56,INXS,What You Need,1986
3560,57,Stevie Nicks,Talk To Me,1986
3561,58,Janet Jackson,Nasty,1986
3562,59,Eddie Money,Take Me Home Tonight,1986
3563,60,Jermaine Stewart,We Don’t Have To Take Our Clothes Off,1986
3564,61,Lisa Lisa and Cult Jam With Full Force,All Cried Out,1986
3565,62,Outfield,Your Love,1986
3566,63,Wham!,I’m Your Man,1986
3567,64,Scritti Politti,Perfect Way,1986
3568,65,James Brown,Living In America,1986
3569,66,John Cougar Mellencamp,R.O.C.K. In The U.S.A.,1986
3570,67,El Debarge,Who’s Johnny,1986
3571,68,Cameo,Word Up,1986
3572,69,Van Halen,Why Can’t This Be Love,1986
3573,70,Mike and The Mechanics,Silent Running,1986
3574,71,Tina Turner,Typical Male,1986
3575,72,John Cougar Mellencamp,Small Town,1986
3576,73,Baltimora,Tarzan Boy,1986
3577,74,Mike and The Mechanics,All I Need Is A Miracle,1986
3578,75,Michael McDonald,Sweet Freedom,1986
3579,76,Madonna,True Blue,1986
3580,77,Timex Social Club,Rumors,1986
3581,78,Dream Academy,Life In A Northern Town,1986
3582,79,Miami Sound Machine,Bad Boy,1986
3583,80,ZZ Top,Sleeping Bag,1986
3584,81,Cars,Tonight She Comes,1986
3585,82,Rod Stewart,Love Touch,1986
3586,83,Sheila E.,A Love Bizarre,1986
3587,84,Genesis,Throwing It All Away,1986
3588,85,Regina,Baby Love,1986
3589,86,Arcadia,Election Day,1986
3590,87,Elton John,Nikita,1986
3591,88,Phil Collins,Take Me Home,1986
3592,89,Run-D.M.C.,Walk This Way,1986
3593,90,Anita Baker,Sweet Love,1986
3594,91,Moody Blues,Your Wildest Dreams,1986
3595,92,Paul McCartney,Spies Like Us,1986
3596,93,Starpoint,Object Of My Desire,1986
3597,94,Daryl Hall,Dreamtime,1986
3598,95,Force M.D.’s,Tender Love,1986
3599,96,Thompson Twins,King For A Day,1986
3600,97,Lionel Richie,Love Will Conquer All,1986
3601,98,George Michael,A Different Corner,1986
3602,99,Toto,I’ll Be Over You,1986
3603,100,Stevie Wonder,Go Home,1986
3604,1,Bangles,Walk Like An Egyptian,1987
3605,2,Heart,Alone,1987
3606,3,Gregory Abbott,Shake You Down,1987
3607,4,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987
3608,5,Starship,Nothing’s Gonna Stop Us Now,1987
3609,6,Robbie Nevil,C’est La Vie,1987
3610,7,Whitesnake,Here I Go Again,1987
3611,8,Bruce Hornsby and The Range,The Way It Is,1987
3612,9,Bob Seger,Shakedown,1987
3613,10,Bon Jovi,Livin’ On A Prayer,1987
3614,11,Los Lobos,La Bamba,1987
3615,12,Wang Chung,Everybody Have Fun Tonight,1987
3616,13,Crowded House,Don’t Dream It’s Over,1987
3617,14,Atlantic Starr,Always,1987
3618,15,U2,With Or Without You,1987
3619,16,Jody Watley,Looking For A New Love,1987
3620,17,Lisa Lisa and Cult Jam,Head To Toe,1987
3621,18,Tiffany,I Think We’re Alone Now,1987
3622,19,Billy Idol,Mony Mony,1987
3623,20,Billy Vera and The Beaters,At This Moment,1987
3624,21,Chris De Burgh,The Lady In Red,1987
3625,22,Whitney Houston,Didn’t We Almost Have It All,1987
3626,23,U2,I Still Haven’t Found What I’m Looking For,1987
3627,24,George Michael,I Want Your Sex,1987
3628,25,Duran Duran,Notorious,1987
3629,26,Debbie Gibson,Only In My Dreams,1987
3630,27,Bill Medley and Jennifer Warnes,(I’ve Had) The Time Of My Life,1987
3631,28,Peter Cetera and Amy Grant,The Next Time I Fall,1987
3632,29,Club Nouveau,Lean On Me,1987
3633,30,Madonna,Open Your Heart,1987
3634,31,Lisa Lisa and Cult Jam,Lost In Emotion,1987
3635,32,Cutting Crew,(I Just) Died In Your Arms,1987
3636,33,T’pau,Heart And Soul,1987
3637,34,Kim Wilde,You Keep Me Hangin’ On,1987
3638,35,Georgia Satellites,Keep Your Hands To Yourself,1987
3639,36,Aretha Franklin and George Michael,I Knew You Were Waiting (For Me),1987
3640,37,Janet Jackson,Control,1987
3641,38,Prince,U Got The Look,1987
3642,39,Linda Ronstadt and James Ingram,Somewhere Out There,1987
3643,40,Genesis,Land Of Confusion,1987
3644,41,Huey Lewis and The News,Jacob’s Ladder,1987
3645,42,Madonna,Who’s That Girl,1987
3646,43,Jets,You Got It All,1987
3647,44,Samantha Fox,Touch Me (I Want Your Body),1987
3648,45,Michael Jackson and Siedah Garrett,I Just Can’t Stop Loving You,1987
3649,46,Madonna,Causing A Commotion,1987
3650,47,Genesis,In Too Deep,1987
3651,48,Janet Jackson,Let’s Wait Awhile,1987
3652,49,Huey Lewis and The News,Hip To Be Square,1987
3653,50,Chicago,Will You Still Love Me?,1987
3654,51,Fleetwood Mac,Little Lies,1987
3655,52,Suzanne Vega,Luka,1987
3656,53,Bananarama,I Heard A Rumour,1987
3657,54,Richard Marx,Don’t Mean Nothing,1987
3658,55,Kenny G,Songbird,1987
3659,56,Europe,Carrie,1987
3660,57,System,Don’t Disturb This Groove,1987
3661,58,Madonna,La Isla Bonita,1987
3662,59,Michael Jackson,Bad,1987
3663,60,Prince,Sign ‘O’ The Times,1987
3664,61,Cyndi Lauper,Change Of Heart,1987
3665,62,Expose,Come Go With Me,1987
3666,63,Dan Hill,Can’t We Try,1987
3667,64,Billy Idol,To Be A Lover,1987
3668,65,Bruce Hornsby and The Range,Mandolin Rain,1987
3669,66,Swing Out Sister,Breakout,1987
3670,67,Ben E. King,Stand By Me,1987
3671,68,Genesis,"Tonight, Tonight, Tonight",1987
3672,69,Glass Tiger,Someday,1987
3673,70,ABC,When Smokey Sings,1987
3674,71,Levert,Casanova,1987
3675,72,Gloria Estefan and Miami Sound Machine,Rhythm Is Gonna Get You,1987
3676,73,Whispers,Rock Steady,1987
3677,74,Bon Jovi,Wanted Dead Or Alive,1987
3678,75,Peter Gabriel,Big Time,1987
3679,76,Steve Winwood,The Finer Things,1987
3680,77,Expose,Let Me Be The One,1987
3681,78,Survivor,Is This Love,1987
3682,79,Herb Alpert,Diamonds,1987
3683,80,Expose,Point Of No Return,1987
3684,81,Fleetwood Mac,Big Love,1987
3685,82,Lou Gramm,Midnight Blue,1987
3686,83,Crowded House,Something So Strong,1987
3687,84,Bryan Adams,Heat Of The Night,1987
3688,85,Glenn Medeiros,Nothing’s Gonna Change My Love For You,1987
3689,86,Bruce Springsteen,Brilliant Disguise,1987
3690,87,Smokey Robinson,Just To See Her,1987
3691,88,Heart,Who Will You Run Too,1987
3692,89,Bruce Willis,Respect Yourself,1987
3693,90,Jets,Cross My Broken Heart,1987
3694,91,Kool and The Gang,Victory,1987
3695,92,Pretenders,Don’t Get Me Wrong,1987
3696,93,Huey Lewis and The News,Doing It All For My Baby,1987
3697,94,Breakfast Club,Right On Track,1987
3698,95,Lionel Richie,Ballerina Girl,1987
3699,96,Kenny Loggins,Meet Me Half Way,1987
3700,97,Cutting Crew,I’ve Been In Love Before,1987
3701,98,Beastie Boys,(You Gotta) Fight For Your Right (To Party),1987
3702,99,Pseudo Echo,Funkytown,1987
3703,100,Ready For The World,Love You Down,1987
3704,1,George Michael,Faith,1988
3705,2,INXS,Need You Tonight,1988
3706,3,George Harrison,Got My Mind Set On You,1988
3707,4,Rick Astley,Never Gonna Give You Up,1988
3708,5,Guns N’ Roses,Sweet Child O’ Mine,1988
3709,6,Whitney Houston,So Emotional,1988
3710,7,Belinda Carlisle,Heaven Is A Place On Earth,1988
3711,8,Tiffany,Could’ve Been,1988
3712,9,Breathe,Hands To Heaven,1988
3713,10,Steve Winwood,Roll With It,1988
3714,11,George Michael,One More Try,1988
3715,12,Terence Trent d’Arby,Wishing Well,1988
3716,13,Gloria Estefan and Miami Sound Machine,Anything For You,1988
3717,14,Cheap Trick,The Flame,1988
3718,15,Billy Ocean,"Get Outta My Dreams, Get Into My Car",1988
3719,16,Expose,Seasons Change,1988
3720,17,Whitesnake,Is This Love,1988
3721,18,Escape Club,"Wild, Wild West",1988
3722,19,Def Leppard,Pour Some Sugar On Me,1988
3723,20,Taylor Dayne,I’ll Always Love You,1988
3724,21,Michael Jackson,Man In The Mirror,1988
3725,22,Debbie Gibson,Shake Your Love,1988
3726,23,Robert Palmer,Simply Irresistible,1988
3727,24,Richard Marx,Hold On To The Nights,1988
3728,25,Eric Carnen,Hungry Eyes,1988
3729,26,Johnny Hates Jazz,Shattered Dreams,1988
3730,27,George Michael,Father Figure,1988
3731,28,Samantha Fox,Naughty Girls (Need Love Too),1988
3732,29,Phil Collins,A Groovy Kind Of Love,1988
3733,30,Def Leppard,Love Bites,1988
3734,31,Richard Marx,Endless Summer Nights,1988
3735,32,Debbie Gibson,Foolish Beat,1988
3736,33,Whitney Houston,Where Do Broken Hearts Go,1988
3737,34,Aerosmith,Angel,1988
3738,35,Bangles,Hazy Shade Of Winter,1988
3739,36,Michael Jackson,The Way You Make Me Feel,1988
3740,37,Bobby McFerrin,"Don’t Worry, Be Happy",1988
3741,38,Eric Carnen,Make Me Lose Control,1988
3742,39,UB40,Red Red Wine,1988
3743,40,Patric Swayze,She’s Like The Wind,1988
3744,41,Bon Jovi,Bad Medicine,1988
3745,42,Beach Boys,Kokomo,1988
3746,43,Elton John,I Don’t Wanna Go On With You Like That,1988
3747,44,Rick Astley,Together Forever,1988
3748,45,George Michael,Monkey,1988
3749,46,INXS,Devil Inside,1988
3750,47,Richard Marx,Should’ve Known Better,1988
3751,48,Chicago,I Don’t Wanna Live Without Your Love,1988
3752,49,Kylie Minogue,The Loco-Motion,1988
3753,50,Pet Shop Boys and Dusty Springfield,What Have I Done To Deserve This?,1988
3754,51,Jets,Make It Real,1988
3755,52,Information Society,What’s On Your Mind,1988
3756,53,Taylor Dayne,Tell It To My Heart,1988
3757,54,Debbie Gibson,Out Of The Blue,1988
3758,55,Jody Watley,Don’t You Want Me,1988
3759,56,U2,Desire,1988
3760,57,Belinda Carlisle,I Get Weak,1988
3761,58,Terence Trent d’Arby,Sign Your Name,1988
3762,59,Roger,I Want To Be Your Man,1988
3763,60,Pebbles,Girlfriend,1988
3764,61,Michael Jackson,Dirty Diana,1988
3765,62,Gloria Estefan and Miami Sound Machine,1 2 3 4,1988
3766,63,Pebbles,Mercedes Boy,1988
3767,64,Huey Lewis and The News,Perfect World,1988
3768,65,INXS,New Sensation,1988
3769,66,Pretty Poison,Catch Me (I’m Falling),1988
3770,67,New Edition,If It Isn’t Love,1988
3771,68,Jets,Rocket 2 U,1988
3772,69,Peter Cetera,One Good Woman,1988
3773,70,Cheap Trick,Don’t Be Cruel,1988
3774,71,Elton John,Candle In The Wind,1988
3775,72,Daryl Hall and John Oates,Everything Your Heart Desires,1988
3776,73,Foreigner,Say You Will,1988
3777,74,Keith Sweat,I Want Her,1988
3778,75,Natalie Cole,Pink Cadillac,1988
3779,76,Tracy Chapman,Fast Car,1988
3780,77,Icehouse,Electric Blue,1988
3781,78,Bruce Hornsby and The Range,The Valley Road,1988
3782,79,Bobby Brown,Don’t Be Cruel,1988
3783,80,Pet Shop Boys,Always On My Mind,1988
3784,81,Brenda Russell feat. Joe Esposito,Piano In The Dark,1988
3785,82,Van Halen,When It’s Love,1988
3786,83,Paul Carrack,Don’t Shed A Tear,1988
3787,84,Sting,We’ll Be Together,1988
3788,85,Joan Jett and The Blackhearts,I Hate Myself For Loving You,1988
3789,86,Foreigner,I Don’t Want To Live Without You,1988
3790,87,Al B. Sure!,Nite And Day,1988
3791,88,Steve Winwood,Don’t You Know What The Night Can Do,1988
3792,89,Whitney Houston,One Moment In Time,1988
3793,90,Gloria Estefan and Miami Sound Machine,Can’t Stay Away From You,1988
3794,91,George Michael,Kissing A Fool,1988
3795,92,John Cougar Mellancamp,Cherry Bomb,1988
3796,93,Brenda K. Starr,I Still Believe,1988
3797,94,Cher,I Found Someone,1988
3798,95,INXS,Never Tear Us Apart,1988
3799,96,Steve Windwood,Valerie,1988
3800,97,David Lee Roth,Just Like Paradise,1988
3801,98,Poison,Nothin’ But A Good Time,1988
3802,99,White Lion,Wait,1988
3803,100,Taylor Dayne,Prove Your Love,1988
3804,1,Chicago,Look Away,1989
3805,2,Bobby Brown,My Prerogative,1989
3806,3,Poison,Every Rose Has Its Thorn,1989
3807,4,Paula Abdul,Straight Up,1989
3808,5,Janet Jackson,Miss You Much,1989
3809,6,Paula Abdul,Cold Hearted,1989
3810,7,Bette Midler,Wind Beneath My Wings,1989
3811,8,Milli Vanilli,Girl You Know Its True,1989
3812,9,Will To Power,"Baby, I Love Your Way-Freebird",1989
3813,10,Anita Baker,Giving You The Best That I Got,1989
3814,11,Richard Marx,Right Here Waiting,1989
3815,12,Boy Meets Girl,Waiting For A Star To Fall,1989
3816,13,Debbie Gibson,Lost In Your Eyes,1989
3817,14,Gloria Estefan,Don’t Wanna Lose You,1989
3818,15,Warrant,Heavan,1989
3819,16,Milli Vanilli,Girl I’m Gonna Miss You,1989
3820,17,Roxette,The Look,1989
3821,18,Fine Young Cannibals,She Drives Me Crazy,1989
3822,19,Bobby Brown,On Our Own,1989
3823,20,Phil Collins,Two Hearts,1989
3824,21,Milli Vanilli,Blame It On The Rain,1989
3825,22,Roxette,Listen To Your Heart,1989
3826,23,Bon Jovi,I’ll Be There For You,1989
3827,24,Simply Red,If You Don’t Know Be By Now,1989
3828,25,Madonna,Like A Prayer,1989
3829,26,New Kids On The Block,I’ll Be Loving You (Forever),1989
3830,27,Breathe,How Can I Fall?,1989
3831,28,Milli Vanilli,Baby Don’t Forget My Number,1989
3832,29,Martika,Toy Solider,1989
3833,30,Paula Abdul,Forever Your Girl.,1989
3834,31,Mike and The Mechanics,The Living Years,1989
3835,32,The Bangles,Eternal Flame,1989
3836,33,Tone Loc,Wild Thing,1989
3837,34,Bad English,When I See You Smile,1989
3838,35,Cher,If I Could Turn Back Time,1989
3839,36,Neneh Cherry,Buffalo Stance,1989
3840,37,Sheriff,When I’m With You,1989
3841,38,Taylor Dayne,Don’t Rush Me,1989
3842,39,Bon Jovi,Born To Be My Baby,1989
3843,40,Fine Young Cannibals,Good Thing,1989
3844,41,Sheena Easton,The Lover In Me,1989
3845,42,Young M.C.,Bust A Move,1989
3846,43,Great White,"Once Bitten, Twice Shy",1989
3847,44,Prince,Batdance,1989
3848,45,Michael Damian,Rock On,1989
3849,46,Jody Watley,Real Love,1989
3850,47,B-52’s,Love Shack,1989
3851,48,Bobby Brown,Every Little Step,1989
3852,49,New Kids On The Block,Hangin’ Tough,1989
3853,50,Rod Stewart,My Heart Can’t Tell You No,1989
3854,51,Love and Rockets,So Alive,1989
3855,52,New Kids On The Block,You Got It (The Right Stuff),1989
3856,53,Def Leppard,Armageddon It,1989
3857,54,Richard Marx,Satisfied,1989
3858,55,Madonna,Express Yourself,1989
3859,56,Dino,I Like It,1989
3860,57,Donny Osmond,Soldier Of Love,1989
3861,58,Tears For Fears,Sowing The Seeds Of Love,1989
3862,59,Madonna,Cherish,1989
3863,60,White Lion,When The Children Cry,1989
3864,61,Skid Row,18 And Life,1989
3865,62,Duran Duran,I Don’t Want Your Love,1989
3866,63,.38 Special,Second Chances,1989
3867,64,Karyn White,The Way You Love Me,1989
3868,65,Tone Loc,Funky Cold Medina,1989
3869,66,Bangles,In Your Room,1989
3870,67,Natalie Cole,Miss You Like Crazy,1989
3871,68,Cure,Love Song,1989
3872,69,Karyn White,Secret Rendesvous,1989
3873,70,Jeff Healey Band,Angel Eyes,1989
3874,71,Guns N’ Roses,Patience,1989
3875,72,Eddie Money,Walk On Water,1989
3876,73,New Kids On The Block,Cover Girl,1989
3877,74,Guns N’ Roses,Welcom To The Jungle,1989
3878,75,Surface,Shower Me With Your Love,1989
3879,76,R.E.M.,Stand,1989
